NÂ°,Codigo Nacional,Codigo OACI,Nombre,Latitud,Longitud,Altitud (Mts),Altura Minima (Mts),Propietario,Fecha Creacion,Tipo,Clasificacion,Zona Geografica,Region,Emite METAR,Emite SYNOP,Paisaje,Operador
0,170001  ,,Visviri Tenencia,-17.59500,-69.47750,"4,084",0,DMC,01-07-1940,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,"Sector cordillerano, al oeste a 18 km Laguna Blanca,",Automatica (Red Basica)
1,170002  ,,Villa Industrial reten,-17.78139,-69.70806,"4,07",0,DMC,01-07-1961,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,"Sector arido, precordillerano.",Carabineros de Chile
2,170003  ,,Alcerreca reten,-17.99250,-69.66056,"3,93",0,DMC,01-07-1961,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,"Sector cordillerano, fronterizo",Carabineros de Chile
3,170004  ,,Tacora reten,-17.77194,-69.72444,"4,091",0,DMC,01-03-1997,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,"Sector cordillerano, 3 km al NW volcan Tacora",Carabineros de Chile
4,170005  ,,Visviri DGA,-17.59500,-69.47667,"4,08",0,DGA,01-05-1968,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,"Ubicada en Visviri, sector desertico",Est. Automatica
5,170006  ,,Rio Caracarani en Humapalca,-17.83861,-69.70639,"3,983",0,DGA,01-03-2013,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,Sector desertico,Est. Automatica
6,170007  ,,Visviri INIA,-17.59472,-69.47528,"4,122",0,INIA,01-04-2012,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,Sector desertico,Est. Automatica
7,180001  ,,Caquena reten,-18.05444,-69.20139,"4,399",0,DMC,01-07-1961,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,"Sector cordillerano, volcan Parinacota 13 km al sur",Carabineros de Chile
8,180002  ,,Puquios reten,-18.17583,-69.74667,"3,744",0,DMC,01-07-1961,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,Sector cordillerano,Carabineros de Chile
9,180003  ,,Putre tenencia,-18.19500,-69.55917,"3,563",0,DMC,01-01-1962,Convencional,TermoPluviometrica,PreCordillera,Arica y Parinacota,No,No,Sector precordillerano,Carabineros de Chile
10,180004  ,,Chungara reten,-18.28167,-69.13833,"4,572",0,DMC,01-01-1975,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,"170 mtrs al SE lago Chungara, 16 km al sur volcan Parinacota",Carabineros de Chile
