Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
1984.0,9.0,1.0,8.2,22.3,15.2,15.0,5.0
1984.0,9.0,2.0,7.3,24.1,15.7,16.9,5.0
1984.0,9.0,3.0,9.8,13.2,11.5,11.9,5.0
1984.0,9.0,4.0,10.0,12.2,11.1,11.3,5.0
1984.0,9.0,5.0,5.4,17.8,11.6,11.6,3.0
1984.0,9.0,6.0,7.4,20.6,14.0,15.2,4.0
1984.0,9.0,7.0,5.4,24.8,15.1,16.7,5.0
1984.0,9.0,8.0,9.0,22.0,15.5,15.5,5.0
1984.0,9.0,9.0,9.6,19.0,14.3,14.6,5.0
1984.0,9.0,10.0,9.0,20.6,14.8,15.9,5.0
1984.0,9.0,11.0,8.5,20.1,14.3,15.6,5.0
1984.0,9.0,12.0,8.7,22.9,15.8,17.2,5.0
1984.0,9.0,13.0,9.7,19.1,14.4,16.2,5.0
1984.0,9.0,14.0,7.0,18.0,12.5,13.6,5.0
1984.0,9.0,15.0,8.3,18.1,13.2,12.9,5.0
1984.0,9.0,16.0,10.0,21.7,15.9,15.5,5.0
1984.0,9.0,17.0,13.1,18.3,15.7,16.5,5.0
1984.0,9.0,18.0,8.6,19.0,13.8,14.3,5.0
1984.0,9.0,19.0,8.0,15.0,11.5,11.3,5.0
1984.0,9.0,20.0,8.4,14.9,11.6,11.0,5.0
1984.0,9.0,21.0,1.9,22.0,11.9,14.1,5.0
1984.0,9.0,22.0,9.8,16.4,13.1,13.9,5.0
1984.0,9.0,23.0,8.2,11.3,9.8,9.5,5.0
1984.0,9.0,24.0,2.6,17.8,10.2,13.0,5.0
1984.0,9.0,25.0,8.8,16.4,12.6,12.2,5.0
1984.0,9.0,26.0,2.9,20.7,11.8,14.5,5.0
1984.0,9.0,27.0,4.2,25.6,14.9,17.6,5.0
1984.0,9.0,28.0,6.1,27.2,16.7,20.8,5.0
1984.0,9.0,29.0,9.5,21.2,15.4,18.3,5.0
1984.0,9.0,30.0,9.2,19.8,14.5,15.6,5.0
