Año,Mes,Día,T. Mínima,T. Máxima,Media Climatológica,Media Aritmética,Datos
2015,6,1,0.7,8.3,4.5,4.9,11
2015,6,2,1.1,5.1,3.1,3.5,11
2015,6,3,3.4,7.9,5.7,6.2,11
2015,6,4,0.7,7.4,4.1,4.6,11
2015,6,5,2.9,8.0,5.5,6.0,11
2015,6,6,0.5,6.2,3.3,4.0,11
2015,6,7,1.1,6.2,3.6,4.1,11
2015,6,8,-5.9,0.1,-2.9,-1.6,11
2015,6,9,-3.5,4.6,0.5,1.7,11
2015,6,10,0.5,5.2,2.8,2.7,11
2015,6,11,0.9,4.9,2.9,3.1,11
2015,6,12,3.1,8.1,5.6,5.9,11
2015,6,13,2.5,6.5,4.5,4.6,11
2015,6,14,0.7,5.9,3.3,3.4,11
2015,6,15,5.1,9.1,7.1,7.8,11
2015,6,16,0.4,3.2,1.8,2.2,11
2015,6,17,-0.9,4.2,1.6,2.2,11
2015,6,18,0.9,4.2,2.5,2.3,11
2015,6,19,-0.3,6.9,3.3,4.0,11
2015,6,20,2.3,6.9,4.6,5.2,11
2015,6,21,1.2,4.6,2.9,2.9,11
2015,6,22,-5.1,4.1,-0.5,0.8,11
2015,6,23,.,-1.8,.,-3.7,10
2015,6,24,-7.3,1.0,-3.2,-2.2,11
2015,6,25,-1.8,9.6,3.9,7.0,11
2015,6,26,3.4,6.8,5.1,5.2,11
2015,6,27,0.4,4.5,2.5,2.6,11
2015,6,28,3.5,11.1,7.3,9.1,11
2015,6,29,5.4,9.1,7.3,7.4,11
2015,6,30,-2.7,3.5,0.4,1.6,11
