Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
2019.0,1.0,1.0,8.8,32.9,22.1,22.1,24.0
2019.0,1.0,2.0,13.2,25.3,23.5,23.5,24.0
2019.0,1.0,3.0,10.8,35.0,22.9,24.3,23.0
2019.0,1.0,4.0,11.0,30.6,23.0,22.4,23.0
2019.0,1.0,5.0,9.9,28.4,18.7,18.8,23.0
2019.0,1.0,6.0,11.5,27.0,19.1,19.0,23.0
2019.0,1.0,7.0,11.2,24.9,18.8,18.6,23.0
2019.0,1.0,8.0,10.1,26.2,18.3,17.6,23.0
2019.0,1.0,9.0,9.7,21.2,16.3,16.3,24.0
2019.0,1.0,10.0,6.8,28.8,18.9,18.3,23.0
2019.0,1.0,11.0,8.0,21.6,18.9,18.9,24.0
2019.0,1.0,12.0,8.6,28.3,18.4,18.2,22.0
2019.0,1.0,13.0,11.8,28.1,18.9,18.9,24.0
2019.0,1.0,14.0,11.6,26.4,18.4,18.4,24.0
2019.0,1.0,15.0,7.8,32.2,20.1,20.1,24.0
2019.0,1.0,16.0,10.1,29.0,21.0,21.0,24.0
2019.0,1.0,17.0,9.4,29.9,19.4,19.4,24.0
2019.0,1.0,18.0,8.9,34.5,21.9,21.9,24.0
2019.0,1.0,19.0,9.9,29.7,20.4,20.4,24.0
2019.0,1.0,20.0,11.3,29.8,19.2,19.2,24.0
2019.0,1.0,21.0,11.9,34.1,22.3,22.3,24.0
2019.0,1.0,22.0,10.0,32.3,22.3,22.3,24.0
2019.0,1.0,23.0,10.6,32.5,22.1,22.1,24.0
2019.0,1.0,24.0,10.7,33.0,21.2,21.2,24.0
2019.0,1.0,25.0,13.7,34.1,22.9,23.1,23.0
2019.0,1.0,26.0,13.5,38.2,25.6,25.6,24.0
2019.0,1.0,27.0,11.8,36.1,24.4,24.4,24.0
2019.0,1.0,28.0,10.7,34.8,23.3,23.2,23.0
2019.0,1.0,29.0,9.6,30.0,20.4,20.4,24.0
2019.0,1.0,30.0,10.5,33.1,21.8,21.8,24.0
2019.0,1.0,31.0,11.6,35.9,23.9,23.9,24.0
2019.0,2.0,1.0,11.0,34.0,23.6,23.6,24.0
2019.0,2.0,2.0,11.9,33.7,22.6,22.6,24.0
2019.0,2.0,3.0,13.1,33.9,23.3,23.3,24.0
2019.0,2.0,4.0,12.3,33.4,22.9,23.1,23.0
2019.0,2.0,5.0,12.1,33.3,22.4,22.4,24.0
2019.0,2.0,6.0,12.4,31.9,23.2,23.2,24.0
2019.0,2.0,7.0,12.4,32.2,21.8,21.8,24.0
2019.0,2.0,8.0,11.6,32.2,21.9,21.9,24.0
2019.0,2.0,9.0,12.0,32.6,22.8,22.8,24.0
2019.0,2.0,10.0,10.8,31.4,21.6,21.6,24.0
2019.0,2.0,11.0,13.4,26.4,19.0,19.0,24.0
2019.0,2.0,12.0,10.8,30.0,19.5,19.5,24.0
2019.0,2.0,13.0,8.8,28.6,18.3,18.3,24.0
2019.0,2.0,14.0,8.3,36.9,22.0,22.0,24.0
2019.0,2.0,15.0,11.0,30.8,21.9,21.9,24.0
2019.0,2.0,16.0,13.5,26.2,18.6,18.6,24.0
2019.0,2.0,17.0,10.4,30.6,19.6,19.6,24.0
2019.0,2.0,18.0,12.3,30.0,20.9,20.9,24.0
2019.0,2.0,19.0,11.9,31.9,20.3,20.3,24.0
2019.0,2.0,20.0,10.9,29.2,20.1,20.1,24.0
2019.0,2.0,21.0,11.2,27.1,19.0,19.0,24.0
2019.0,2.0,22.0,11.4,30.1,20.1,20.1,24.0
2019.0,2.0,23.0,14.0,31.3,22.3,22.3,24.0
2019.0,2.0,24.0,12.3,31.1,21.9,21.9,24.0
2019.0,2.0,25.0,9.3,30.1,20.7,20.7,24.0
2019.0,2.0,26.0,6.7,32.3,19.5,19.5,24.0
2019.0,2.0,27.0,8.1,32.4,20.9,20.9,24.0
2019.0,2.0,28.0,7.7,29.8,19.4,19.4,24.0
2019.0,3.0,1.0,8.8,31.6,18.9,18.9,24.0
2019.0,3.0,2.0,9.7,31.3,20.3,20.3,24.0
2019.0,3.0,3.0,10.7,28.2,18.7,18.7,24.0
2019.0,3.0,4.0,10.7,28.1,18.2,18.2,24.0
2019.0,3.0,5.0,9.1,31.3,20.9,20.9,24.0
2019.0,3.0,6.0,9.8,31.5,21.2,21.2,24.0
2019.0,3.0,7.0,8.0,29.5,19.3,19.3,24.0
2019.0,3.0,8.0,9.3,24.8,18.2,18.2,24.0
2019.0,3.0,9.0,8.2,27.5,16.9,16.9,24.0
2019.0,3.0,10.0,8.0,27.2,17.6,17.6,24.0
2019.0,3.0,11.0,8.0,29.4,19.0,19.0,24.0
2019.0,3.0,12.0,8.3,32.5,19.9,19.9,24.0
2019.0,3.0,13.0,8.9,29.6,19.7,19.7,24.0
2019.0,3.0,14.0,8.8,29.1,19.0,19.0,24.0
2019.0,3.0,15.0,7.3,28.1,17.9,17.9,24.0
2019.0,3.0,16.0,4.9,27.3,16.5,16.5,24.0
2019.0,3.0,17.0,4.8,28.1,16.0,16.0,24.0
2019.0,3.0,18.0,7.5,27.6,18.2,18.2,24.0
2019.0,3.0,19.0,8.8,26.7,17.7,17.7,24.0
2019.0,3.0,20.0,3.9,29.1,17.2,17.2,24.0
2019.0,3.0,21.0,5.4,28.7,18.1,18.1,24.0
2019.0,3.0,22.0,6.5,31.8,20.2,20.2,24.0
2019.0,3.0,23.0,8.7,29.6,19.7,19.7,24.0
2019.0,3.0,24.0,9.1,30.5,20.1,20.1,24.0
2019.0,3.0,25.0,6.5,28.1,17.3,17.3,24.0
2019.0,3.0,26.0,5.4,29.0,16.4,16.4,24.0
2019.0,3.0,27.0,4.5,25.6,14.8,14.8,24.0
2019.0,3.0,28.0,8.9,25.8,15.4,15.4,24.0
2019.0,3.0,29.0,4.9,25.2,14.9,14.9,24.0
2019.0,3.0,30.0,6.1,21.7,14.4,14.4,24.0
2019.0,3.0,31.0,12.6,22.3,16.2,16.2,24.0
2019.0,4.0,1.0,6.9,27.5,16.2,16.2,24.0
2019.0,4.0,2.0,7.5,28.9,18.1,18.1,24.0
2019.0,4.0,3.0,7.5,20.9,14.4,14.4,24.0
2019.0,4.0,4.0,10.2,24.6,16.6,16.6,24.0
2019.0,4.0,5.0,7.5,29.8,18.3,18.3,24.0
2019.0,4.0,6.0,7.6,30.8,19.5,19.5,24.0
2019.0,4.0,7.0,7.2,32.2,19.9,19.9,24.0
2019.0,4.0,8.0,8.0,24.7,15.1,15.1,24.0
2019.0,4.0,9.0,8.6,16.9,11.7,11.7,24.0
2019.0,4.0,10.0,12.8,25.5,16.6,16.6,24.0
2019.0,4.0,11.0,3.6,24.8,14.4,14.4,24.0
2019.0,4.0,12.0,9.1,16.6,12.0,12.0,24.0
2019.0,4.0,13.0,6.3,14.6,11.5,11.5,24.0
2019.0,4.0,14.0,2.0,21.0,11.0,11.0,24.0
2019.0,4.0,15.0,4.1,28.6,15.8,15.8,24.0
2019.0,4.0,16.0,4.0,29.1,16.6,16.6,24.0
2019.0,4.0,17.0,4.6,29.4,17.4,17.4,24.0
