,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
0,2020.0,1.0,1.0,10.8,35.2,24.1,24.1,24.0
1,2020.0,1.0,2.0,9.6,36.8,22.6,22.6,24.0
2,2020.0,1.0,3.0,11.4,32.8,24.3,24.3,24.0
3,2020.0,1.0,4.0,17.4,30.9,23.2,23.2,24.0
4,2020.0,1.0,5.0,11.7,24.1,17.9,17.9,24.0
5,2020.0,1.0,6.0,8.1,25.8,16.9,16.9,24.0
6,2020.0,1.0,7.0,8.6,26.8,18.0,18.0,24.0
7,2020.0,1.0,8.0,13.9,18.9,15.6,15.5,23.0
8,2020.0,1.0,9.0,7.1,23.6,15.2,15.2,24.0
9,2020.0,1.0,10.0,10.8,27.8,18.6,18.6,24.0
10,2020.0,1.0,11.0,12.9,31.2,20.9,20.9,24.0
11,2020.0,1.0,12.0,14.2,36.1,24.3,24.3,24.0
12,2020.0,1.0,13.0,13.2,31.6,21.6,21.6,24.0
13,2020.0,1.0,14.0,12.6,28.6,20.2,20.2,24.0
14,2020.0,1.0,15.0,10.5,23.2,16.7,16.7,24.0
15,2020.0,1.0,16.0,10.9,29.1,18.2,18.2,24.0
16,2020.0,1.0,17.0,13.7,34.5,23.6,23.6,24.0
17,2020.0,1.0,18.0,17.4,36.6,25.7,25.7,24.0
18,2020.0,1.0,19.0,15.2,33.9,23.9,23.9,24.0
19,2020.0,1.0,20.0,13.8,33.7,23.0,22.7,23.0
20,2020.0,1.0,21.0,16.1,35.8,24.7,24.7,24.0
21,2020.0,1.0,22.0,19.4,35.7,26.4,26.4,24.0
22,2020.0,1.0,23.0,10.7,33.9,21.0,21.0,24.0
23,2020.0,1.0,24.0,15.2,32.8,23.7,23.7,24.0
24,2020.0,1.0,25.0,15.6,33.2,23.4,23.4,24.0
25,2020.0,1.0,26.0,17.4,31.9,24.1,24.1,24.0
26,2020.0,1.0,27.0,16.3,34.2,24.3,24.3,24.0
27,2020.0,1.0,28.0,15.9,27.7,22.4,22.4,24.0
28,2020.0,1.0,29.0,11.6,28.4,18.9,18.9,24.0
29,2020.0,1.0,30.0,11.4,32.1,21.0,21.0,24.0
30,2020.0,1.0,31.0,14.6,32.9,23.3,23.3,24.0
0,2020.0,2.0,1.0,13.7,31.1,22.9,22.9,24.0
1,2020.0,2.0,2.0,7.1,31.7,19.8,19.8,24.0
